Agent,R/N    ,PAX,Revenue,AvgRate,Rm,PAX
Booking,426,885,"616,946.56","1,448.23",208,433
Agoda_APS_Rate,549,1141,"572,490.81","1,042.78",421,872
Anatolian_Express,680,1310,"492,816.64",724.73,45,89
FIT,209,445,"322,801.68","1,544.50",140,304
Cosmo_Travel_Inter,417,838,"321,875.27",771.88,183,368
Expedia_Travel,247,515,"264,845.88","1,072.25",116,231
PGS,272,538,"261,538.13",961.53,27,56
Thaweemongkorn,163,424,"203,245.73","1,246.90",82,213
Agoda_Domestic,218,448,"190,528.56",873.98,168,348
Phongchoen_Asiatours,243,474,"186,069.17",765.71,122,238
Pinnacle_Website,96,197,"163,240.57","1,700.42",39,88
Asiajet_Group,215,413,"161,877.75",752.91,41,76
Walk_In,103,217,"156,540.06","1,519.80",82,177
BiblioGlobus,122,251,"114,822.26",941.16,14,28
Anatolian_Express_A,94,94,"100,934.50","1,073.77",4,4
Thai_Wan_Xiang_Trade,130,265,"99,778.33",767.52,69,143
The_Secretariat_of_the_Senate,77,163,"81,936.99","1,064.11",77,163
Guanhio_Travel,98,196,"74,935.70",764.65,36,72
WTP,61,123,"71,316.86","1,169.12",61,123
Thomasook,54,81,"69,886.12","1,294.18",4,6
Rama_Hospital,45,120,"50,212.35","1,115.83",45,120
Privilegeard,40,92,"48,812.24","1,220.30",6,13
Sayama_Travel_Group,54,77,"48,398.52",896.26,5,7
Dong_Nan_Tours,62,126,"48,342.90",779.72,31,63
Hotelbeds_Net_Rate_Worldwild,52,104,"47,631.48",915.99,11,22
CP_All,46,96,"38,810.84",843.71,23,48
Thaiyuan_Travel,46,87,"37,510.54",815.44,27,52
Smile_Yim_Smile_Trip,32,65,"34,579.49","1,080.60",32,65
Advanced_Wireless_Network,38,76,"34,222.42",900.59,38,76
Total_Service_Solution,37,74,"33,321.83",900.59,37,74
Phongchoen_Asiatours,38,72,"33,194.56",873.54,19,36
Thaistar_Interbusiness,41,82,"31,350.65",764.65,30,60
Meier's_Govacation,28,56,"30,293.92","1,081.92",2,4
AlltoursGo,16,35,"29,396.71","1,837.29",2,5
Destination_of_the_World,32,62,"28,542.83",891.96,10,19
